Area_en,Area_ar,Latitude,Longitude
Al Azbakeyah,الازبكية,,
Al Basatin,البساتين,30.0069231,31.330070212853773
Tebin,التبين,29.77392255,31.292504062794308
El-Khalifa,الخليفة,30.0280813,31.2517925
El darrasa,الدراسة,,
Aldarb Alahmar,الدرب الاحمر,,
Zawya al-Hamra,الزاوية الحمراء,30.0984693,31.262636096602584
El-Zaytoun,الزيتون,,
Sahel,الساحل,30.0917969,31.23752838753986
El Salam,السلام,29.5899468,32.7212177
Sayeda Zeinab,السيدة زينب,30.1719359,31.4091865
El Sharabeya,الشرابية,,
Shorouk,مدينة الشروق,30.11952805,31.60687795516707
El Daher,الظاهر,,
Ataba,العتبة,30.0527638,31.2492981
New Cairo,القاهرة الجديدة,30.0277688,31.4756825
El Marg,المرج,30.1520818,31.3357665
Ezbet el Nakhl,عزبة النخل,30.13662715,31.31874325980126
Matareya,المطرية,31.209292400000002,32.22445501636834
Maadi,المعادى,29.9603313,31.26305504108212
Maasara,المعصرة,29.9091281,31.2912838
Mokattam,المقطم,30.0163466,31.2804433
Manyal,المنيل,30.0214222,31.22575552382122
Mosky,الموسكى,30.0503528,31.253695
Nozha,النزهة,26.1209239,34.26242856905219
Waily,الوايلى,30.0668177,31.2760789
Bab al-Shereia,باب الشعرية,,
Bolaq,بولاق,,
Garden City,جاردن سيتى,30.03471505,31.231187894621243
Hadayek El-Kobba,حدائق القبة,,
Helwan,حلوان,29.8500001,31.333333
Dar Al Salam,دار السلام,29.986186349999997,31.24672077127458
Shubra,شبرا,30.1285988,31.242218
Tura,طره,29.9345933,31.2807256
Abdeen,عابدين,31.146272500000002,31.544371031756754
Abaseya,عباسية,,
Ain Shams,عين شمس,30.1304761,31.3167491
Nasr City,مدينة نصر,30.0521177,31.3422045
New Heliopolis,مصر الجديدة,30.1180968,31.6925603
Masr Al Qadima,مصر القديمة,30.0072008,31.229366
Mansheya Nasir,منشية ناصر,,
Badr City,مدينة بدر,30.572633699999997,30.703264117160842
Obour City,مدينة العبور,30.2288224,31.465685617766244
Cairo Downtown,وسط البلد,,
Zamalek,الزمالك,29.9289553,30.934665072489047
Kasr El Nile,قصر النيل,,
Rehab,الرحاب,30.063584,31.4889939
Katameya,القطامية,29.9921014,31.4046293
Madinty,مدينتي,,
Rod Alfarag,روض الفرج,,
Sheraton,شيراتون,27.9217863,34.3669308
El-Gamaleya,الجمالية,31.1805303,31.8641617
10th of Ramadan City,العاشر من رمضان,30.3154491,31.7392776
Helmeyat Alzaytoun,الحلمية,,
New Nozha,النزهة الجديدة,30.12475835,31.370071774421465
Capital New,العاصمة الإدارية,30.023829,31.7549459
Giza,الجيزة,29.9870753,31.2118063
Sixth of October,السادس من أكتوبر,29.8105502,30.81986945365461
Cheikh Zayed,الشيخ زايد,30.0453315,30.9797507
Hawamdiyah,الحوامدية,,
Al Badrasheen,البدرشين,29.8536707,31.2774423
Saf,الصف,30.1634269,31.416232447152353
Atfih,أطفيح,29.414232300000002,31.250156240705067
Al Ayat,العياط,29.61210505,31.251250792202768
Al-Bawaiti,الباويطي,,
ManshiyetAl Qanater,منشأة القناطر,,
Oaseem,أوسيم,,
Kerdasa,كرداسة,30.031422550000002,31.115599860932907
Abu Nomros,أبو النمرس,,
Kafr Ghati,كفر غطاطي,,
Manshiyet Al Bakari,منشأة البكاري,,
Dokki,الدقى,30.0388955,31.2125563
Agouza,العجوزة,30.0549435,31.2127281
