Subdivision_en,Subdivision_ar,Latitude,Longitude
Alexandria,الإسكندرية,31.1991806,29.8951716
 Aswan,أسوان,24.091071,32.897306
 Asyut,أسيوط,27.1832822,31.1853836
 Beheira,البحيرة,30.7915206,30.346548847969675
 Beni Suef,بني سويف,28.83826875,30.854476821535407
 Cairo,القاهرة,30.0443879,31.2357257
 Dakahlia,الدقهلية,31.13800465,31.88824986845627
 Damietta,دمياط,31.4167427,31.8213657
 Faiyum,الفيوم,29.340736999999997,30.620104467964623
 Gharbia,الغربية,30.8393003,30.9963429
 Giza,الجيزة,29.9870753,31.2118063
 Ismailia,الاسماعيلية,30.6043775,32.2770825
 Kafr El Sheikh,كفر الشيخ,31.1089385,30.9426981
 Luxor,الأقصر,25.702096,32.647186
 Matrouh,مطروح,29.7876385,27.427040953366895
 Minya,المنيا,28.2125404,30.912374098545786
 Monufia,المنوفية,30.4370098,30.746685163855833
 New Valley,الوادي الجديد,24.8766665,28.775734531760392
 North Sinai,شمال سيناء,30.50428025,33.59100602395213
 Port Said,بورسعيد,31.263235,32.305505
 Qalyubia,القليوبية,30.33362925,31.22135686416373
 Qena,قنا,26.01055795,33.12992108817383
 Red Sea,البحر الاحمر,25.5867279,34.16946410259507
 Sharqia,الشرقية,30.63327745,31.789373917991302
 Sohag,سوهاج,26.76246285,32.090993613434186
 South Sinai,جنوب سيناء,28.64495635,33.87113129565117
 Suez,السويس,29.974498,32.537086
